club_name,club_logo
Leeds,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/5bfb9659.png
Spezia,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/68449f6d.png
Cádiz,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/ee7c297c.png
Genoa,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/658bf2de.png
Alaves,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/8d6fd021.png
Cagliari,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/c4260e09.png
Augsburg,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/0cdc4311.png
Arminia Bielefeld,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/247c4b67.png
Brest,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/fb08dbb3.png
Metz,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/f83960ae.png
Levante,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/9800b6a1.png
Saint-Etienne,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/d298ef2c.png
Burnley,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/943e8050.png
Newcastle Utd,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/b2b47a98.png
Salernitana,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/c5577084.png
Getafe,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/7848bd64.png
Norwich City,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/1c781004.png
Greuther Fürth,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/12192a4c.png
